bin, x_center, entries, mean, rms
1,0,0,0,0
2,1,0,0,0
3,2,0,0,0
4,3,137,-0.763686,0.282705
5,4,118,-0.640678,0.374579
6,5,99,-0.487626,0.464387
7,6,103,-0.310825,0.571618
8,7,83,-0.391024,0.482241
9,8,69,-0.335725,0.559636
10,9,86,-0.138953,0.530452
11,10,88,-0.164432,0.514701
12,11,4626,0.145824,0.359298
13,12,0,0,0
14,13,0,0,0
15,14,0,0,0
16,15,0,0,0
17,16,0,0,0
18,17,0,0,0
19,18,0,0,0
20,19,0,0,0
21,20,0,0,0
22,21,0,0,0
23,22,0,0,0
24,23,0,0,0
25,24,0,0,0
26,25,0,0,0
27,26,0,0,0
28,27,0,0,0
29,28,0,0,0
30,29,0,0,0
31,30,0,0,0
32,31,0,0,0
33,32,0,0,0
34,33,0,0,0
35,34,0,0,0
36,35,0,0,0
37,36,0,0,0
38,37,0,0,0
39,38,0,0,0
40,39,0,0,0
41,40,0,0,0
42,41,0,0,0
43,42,0,0,0
44,43,0,0,0
45,44,0,0,0
