bin, x_center, entries, mean, rms
1,0,0,0,0
2,1,0,0,0
3,2,0,0,0
4,3,103,-0.29335,0.534547
5,4,115,-0.108739,0.51945
6,5,98,-0.138673,0.527155
7,6,96,-0.0580208,0.555407
8,7,113,-0.0932301,0.546764
9,8,116,-0.0925862,0.50016
10,9,111,-0.0665315,0.49515
11,10,107,0.0124766,0.449272
12,11,5038,0.213865,0.287087
13,12,0,0,0
14,13,0,0,0
15,14,0,0,0
16,15,0,0,0
17,16,0,0,0
18,17,0,0,0
19,18,0,0,0
20,19,0,0,0
21,20,0,0,0
22,21,0,0,0
23,22,0,0,0
24,23,0,0,0
25,24,0,0,0
26,25,0,0,0
27,26,0,0,0
28,27,0,0,0
29,28,0,0,0
30,29,0,0,0
31,30,0,0,0
32,31,0,0,0
33,32,0,0,0
34,33,0,0,0
35,34,0,0,0
36,35,0,0,0
37,36,0,0,0
38,37,0,0,0
39,38,0,0,0
40,39,0,0,0
41,40,0,0,0
42,41,0,0,0
43,42,0,0,0
44,43,0,0,0
45,44,0,0,0
