bin, x_center, entries, mean, rms
1,0,0,0,0
2,1,0,0,0
3,2,0,0,0
4,3,120,-0.565667,0.401586
5,4,108,-0.579907,0.371502
6,5,104,-0.529327,0.308373
7,6,121,-0.468471,0.279192
8,7,90,-0.269111,0.279491
9,8,115,-0.224043,0.308367
10,9,88,-0.0890909,0.324715
11,10,133,0.00454887,0.302045
12,11,5197,0.0767491,0.248803
13,12,0,0,0
14,13,0,0,0
15,14,0,0,0
16,15,0,0,0
17,16,0,0,0
18,17,0,0,0
19,18,0,0,0
20,19,0,0,0
21,20,0,0,0
22,21,0,0,0
23,22,0,0,0
24,23,0,0,0
25,24,0,0,0
26,25,0,0,0
27,26,0,0,0
28,27,0,0,0
29,28,0,0,0
30,29,0,0,0
31,30,0,0,0
32,31,0,0,0
33,32,0,0,0
34,33,0,0,0
35,34,0,0,0
36,35,0,0,0
37,36,0,0,0
38,37,0,0,0
39,38,0,0,0
40,39,0,0,0
41,40,0,0,0
42,41,0,0,0
43,42,0,0,0
44,43,0,0,0
45,44,0,0,0
